Driver_ID	Driver_First_Name	Driver_Last_Name	Company_ID	Company_Name	ETA - Mins
A7E58O	Steve	Davis	F2Z8P	Uber	37
Y2Y54Q	Juliet	Davis	G4N6H	Lyft	57
M5X48Y	Myfanwy	Dennis	O6N0B	Yellow Cab	32
N4N45C	Gwen	Drury	L2V2Z	Uber	0
L4B1K	Ryu	Evans	M7G2M	Yellow Cab	28
I9B82C	Ahmad	Fellows	P8L5T	Uber	31
R8I84L	Kylie	grant	D7H3V	Lyft	20
I4X41Q	Jason	Griffiths	Q0Q8R	Yellow Cab	21
L9E78A	Tim	Housman	X7T0W	Uber	12
Q0R40R	Pat	James	D1M6V	Lyft	52
A7E58O	Susan	James	V0F3A	Yellow Cab	22
G8B99X	Ian	Larkin	P5U8G	Uber	26
J1N97P	Dafyydd	Loopy	T9Y7K	Yellow Cab	0
Q5A40R	Rhian	Morris	T2B1H	Lyft	26
G2W47C	Annie	Mystic	R7D5H	Lyft	8
C5S44J	Dylan	New	G7W4R	Lyft	44
F8J40Z	Aimee	Old	D6Z5R	Uber	46
T9F61B	Chloe	Parks	E5L3Z	Yellow Cab	11
K1H91X	Sheila	Potter	V1H9Y	Yellow Cab	58
V2S35G	Joan	Rees	W5G9T	Uber	1
D5B76G	Joanne	Rhys	A8W3D	Uber	31
G2O60C	Richard	Stevens	V8B4V	Lyft	51
D7G70Z	Kath	Keirle	C6A6K	Lyft	45
K4V97W	Adrian	Wells	P5B0Y	Lyft	36
J1L43P	James	Devlin	V7U0R	Uber	20
G7Z66B	Kate	Tomlins	M5S7K	Yellow Cab	40
O0N30Z	Jess	Watkins	T1S2I	Yellow Cab	18
R5W45B	Jim	Williams	Z1O1W	Yellow Cab	5
I2W84U	Jules	Verne	M9U1A	Uber	10
N8J48V	Amy	Yates	S6O0A	Lyft	1
P7K27M	Dick	X	D4R8S	Lyft	36
E0R54W	Tony	Blair	L4W9U	Lyft	4
C2V91R	David	Cameron	C3Q3H	Lyft	20
L8Q74W	Chairman	Mao	R4M9X	Uber	39
J4M87U	Stalin	Joseph	S0P0H	Uber	9
B9Z1N	Adolf	Hitler	G1P5X	Yellow Cab	29
Y3M11T	Donald	Trump	R8F3Z	Uber	42
N1U33J	George	Washington	Z2E5S	Lyft	38
A6U39A	James	Madison	C1V7J	Uber	41
C9D98Y	Lebron	James	V2Z6L	Uber	30
R1M18S	Kobe	Bryant	E9P5L	Lyft	60
K6G7A	Michael	Jordan	Y4R7T	Uber	2
T6X87D	Malcolm	Little	U6Z1L	Yellow Cab	17
D2T16A	Martin	King	D1I2A	Uber	25
R1L19P	Beyonce	Knowles	O6E4Q	Uber	21
C0U33O	Curtis	Jackson	Q6Q5O	Uber	43
A5W8O	Meek	Mills	G1H2D	Yellow Cab	32
F4O82U	Amos	Lee	D4D6S	Uber	29
F1U26E	Arlissa	Judd	B6W9D	Uber	51
